No.     Time        Source                Destination           Protocol Length Sequence number Acknowledgment number Info
      1 0.000000    192.168.1.102         128.119.245.12        TCP      62     0                                     health-polling > http [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1
      3 0.023265    192.168.1.102         128.119.245.12        TCP      54     1               1                     health-polling > http [ACK] Seq=1 Ack=1 Win=17520 Len=0
      4 0.026477    192.168.1.102         128.119.245.12        TCP      619    1               1                     [TCP segment of a reassembled PDU]
      5 0.041737    192.168.1.102         128.119.245.12        TCP      1514   566             1                     [TCP segment of a reassembled PDU]
      7 0.054026    192.168.1.102         128.119.245.12        TCP      1514   2026            1                     [TCP segment of a reassembled PDU]
      8 0.054690    192.168.1.102         128.119.245.12        TCP      1514   3486            1                     [TCP segment of a reassembled PDU]
     10 0.077405    192.168.1.102         128.119.245.12        TCP      1514   4946            1                     [TCP segment of a reassembled PDU]
     11 0.078157    192.168.1.102         128.119.245.12        TCP      1514   6406            1                     [TCP segment of a reassembled PDU]
     13 0.124185    192.168.1.102         128.119.245.12        TCP      1201   7866            1                     [TCP segment of a reassembled PDU]
     18 0.305040    192.168.1.102         128.119.245.12        TCP      1514   9013            1                     [TCP segment of a reassembled PDU]
     19 0.305813    192.168.1.102         128.119.245.12        TCP      1514   10473           1                     [TCP segment of a reassembled PDU]
     20 0.306692    192.168.1.102         128.119.245.12        TCP      1514   11933           1                     [TCP segment of a reassembled PDU]
     21 0.307571    192.168.1.102         128.119.245.12        TCP      1514   13393           1                     [TCP segment of a reassembled PDU]
     22 0.308699    192.168.1.102         128.119.245.12        TCP      1514   14853           1                     [TCP segment of a reassembled PDU]
     23 0.309553    192.168.1.102         128.119.245.12        TCP      946    16313           1                     [TCP segment of a reassembled PDU]
     30 0.576671    192.168.1.102         128.119.245.12        TCP      1514   17205           1                     [TCP segment of a reassembled PDU]
     31 0.577385    192.168.1.102         128.119.245.12        TCP      1514   18665           1                     [TCP segment of a reassembled PDU]
     32 0.578329    192.168.1.102         128.119.245.12        TCP      1514   20125           1                     [TCP segment of a reassembled PDU]
     33 0.579195    192.168.1.102         128.119.245.12        TCP      1514   21585           1                     [TCP segment of a reassembled PDU]
     34 0.580149    192.168.1.102         128.119.245.12        TCP      1514   23045           1                     [TCP segment of a reassembled PDU]
     35 0.581074    192.168.1.102         128.119.245.12        TCP      946    24505           1                     [TCP segment of a reassembled PDU]
     42 0.853405    192.168.1.102         128.119.245.12        TCP      1514   25397           1                     [TCP segment of a reassembled PDU]
     43 0.854076    192.168.1.102         128.119.245.12        TCP      1514   26857           1                     [TCP segment of a reassembled PDU]
     44 0.855036    192.168.1.102         128.119.245.12        TCP      1514   28317           1                     [TCP segment of a reassembled PDU]
     45 0.855878    192.168.1.102         128.119.245.12        TCP      1514   29777           1                     [TCP segment of a reassembled PDU]
     46 0.856802    192.168.1.102         128.119.245.12        TCP      1514   31237           1                     [TCP segment of a reassembled PDU]
     47 0.857683    192.168.1.102         128.119.245.12        TCP      946    32697           1                     [TCP segment of a reassembled PDU]
     53 1.117333    192.168.1.102         128.119.245.12        TCP      1514   33589           1                     [TCP segment of a reassembled PDU]
     54 1.118133    192.168.1.102         128.119.245.12        TCP      1514   35049           1                     [TCP segment of a reassembled PDU]
     55 1.119029    192.168.1.102         128.119.245.12        TCP      1514   36509           1                     [TCP segment of a reassembled PDU]
     56 1.119858    192.168.1.102         128.119.245.12        TCP      1514   37969           1                     [TCP segment of a reassembled PDU]
     57 1.120902    192.168.1.102         128.119.245.12        TCP      1514   39429           1                     [TCP segment of a reassembled PDU]
     58 1.121891    192.168.1.102         128.119.245.12        TCP      946    40889           1                     [TCP segment of a reassembled PDU]
     63 1.390110    192.168.1.102         128.119.245.12        TCP      1514   41781           1                     [TCP segment of a reassembled PDU]
     64 1.390824    192.168.1.102         128.119.245.12        TCP      1514   43241           1                     [TCP segment of a reassembled PDU]
     65 1.391683    192.168.1.102         128.119.245.12        TCP      1514   44701           1                     [TCP segment of a reassembled PDU]
     66 1.392594    192.168.1.102         128.119.245.12        TCP      1514   46161           1                     [TCP segment of a reassembled PDU]
     67 1.393390    192.168.1.102         128.119.245.12        TCP      1514   47621           1                     [TCP segment of a reassembled PDU]
     68 1.394202    192.168.1.102         128.119.245.12        TCP      946    49081           1                     [TCP segment of a reassembled PDU]
     72 1.661734    192.168.1.102         128.119.245.12        TCP      1514   49973           1                     [TCP segment of a reassembled PDU]
     73 1.662474    192.168.1.102         128.119.245.12        TCP      1514   51433           1                     [TCP segment of a reassembled PDU]
     74 1.663315    192.168.1.102         128.119.245.12        TCP      1514   52893           1                     [TCP segment of a reassembled PDU]
     75 1.664198    192.168.1.102         128.119.245.12        TCP      1514   54353           1                     [TCP segment of a reassembled PDU]
     76 1.665254    192.168.1.102         128.119.245.12        TCP      1514   55813           1                     [TCP segment of a reassembled PDU]
     77 1.666151    192.168.1.102         128.119.245.12        TCP      946    57273           1                     [TCP segment of a reassembled PDU]
     81 1.931099    192.168.1.102         128.119.245.12        TCP      1514   58165           1                     [TCP segment of a reassembled PDU]
     82 1.931879    192.168.1.102         128.119.245.12        TCP      1514   59625           1                     [TCP segment of a reassembled PDU]
     83 1.932757    192.168.1.102         128.119.245.12        TCP      1514   61085           1                     [TCP segment of a reassembled PDU]
     84 1.933636    192.168.1.102         128.119.245.12        TCP      1514   62545           1                     [TCP segment of a reassembled PDU]
     85 1.934770    192.168.1.102         128.119.245.12        TCP      1514   64005           1                     [TCP segment of a reassembled PDU]
     86 1.935586    192.168.1.102         128.119.245.12        TCP      946    65465           1                     [TCP segment of a reassembled PDU]
     90 2.203411    192.168.1.102         128.119.245.12        TCP      1514   66357           1                     [TCP segment of a reassembled PDU]
     91 2.204125    192.168.1.102         128.119.245.12        TCP      1514   67817           1                     [TCP segment of a reassembled PDU]
     92 2.204962    192.168.1.102         128.119.245.12        TCP      1514   69277           1                     [TCP segment of a reassembled PDU]
     93 2.205836    192.168.1.102         128.119.245.12        TCP      1514   70737           1                     [TCP segment of a reassembled PDU]
     94 2.206824    192.168.1.102         128.119.245.12        TCP      1514   72197           1                     [TCP segment of a reassembled PDU]
     95 2.207746    192.168.1.102         128.119.245.12        TCP      946    73657           1                     [TCP segment of a reassembled PDU]
     99 2.476801    192.168.1.102         128.119.245.12        TCP      1514   74549           1                     [TCP segment of a reassembled PDU]
    100 2.477515    192.168.1.102         128.119.245.12        TCP      1514   76009           1                     [TCP segment of a reassembled PDU]
    101 2.478415    192.168.1.102         128.119.245.12        TCP      1514   77469           1                     [TCP segment of a reassembled PDU]
    102 2.479341    192.168.1.102         128.119.245.12        TCP      1514   78929           1                     [TCP segment of a reassembled PDU]
    103 2.480356    192.168.1.102         128.119.245.12        TCP      1514   80389           1                     [TCP segment of a reassembled PDU]
    104 2.481218    192.168.1.102         128.119.245.12        TCP      946    81849           1                     [TCP segment of a reassembled PDU]
    108 2.747468    192.168.1.102         128.119.245.12        TCP      1514   82741           1                     [TCP segment of a reassembled PDU]
    109 2.748321    192.168.1.102         128.119.245.12        TCP      1514   84201           1                     [TCP segment of a reassembled PDU]
    110 2.749246    192.168.1.102         128.119.245.12        TCP      1514   85661           1                     [TCP segment of a reassembled PDU]
    111 2.750126    192.168.1.102         128.119.245.12        TCP      1514   87121           1                     [TCP segment of a reassembled PDU]
    112 2.751237    192.168.1.102         128.119.245.12        TCP      1514   88581           1                     [TCP segment of a reassembled PDU]
    113 2.752049    192.168.1.102         128.119.245.12        TCP      946    90041           1                     [TCP segment of a reassembled PDU]
    117 3.021036    192.168.1.102         128.119.245.12        TCP      1514   90933           1                     [TCP segment of a reassembled PDU]
    118 3.021748    192.168.1.102         128.119.245.12        TCP      1514   92393           1                     [TCP segment of a reassembled PDU]
    119 3.022626    192.168.1.102         128.119.245.12        TCP      1514   93853           1                     [TCP segment of a reassembled PDU]
    120 3.023492    192.168.1.102         128.119.245.12        TCP      1514   95313           1                     [TCP segment of a reassembled PDU]
    121 3.024734    192.168.1.102         128.119.245.12        TCP      1514   96773           1                     [TCP segment of a reassembled PDU]
    122 3.025618    192.168.1.102         128.119.245.12        TCP      946    98233           1                     [TCP segment of a reassembled PDU]
    126 3.291881    192.168.1.102         128.119.245.12        TCP      1514   99125           1                     [TCP segment of a reassembled PDU]
    127 3.292657    192.168.1.102         128.119.245.12        TCP      1514   100585          1                     [TCP segment of a reassembled PDU]
    128 3.293613    192.168.1.102         128.119.245.12        TCP      1514   102045          1                     [TCP segment of a reassembled PDU]
    129 3.294487    192.168.1.102         128.119.245.12        TCP      1514   103505          1                     [TCP segment of a reassembled PDU]
    130 3.295806    192.168.1.102         128.119.245.12        TCP      1514   104965          1                     [TCP segment of a reassembled PDU]
    131 3.296698    192.168.1.102         128.119.245.12        TCP      946    106425          1                     [TCP segment of a reassembled PDU]
    135 3.562737    192.168.1.102         128.119.245.12        TCP      1514   107317          1                     [TCP segment of a reassembled PDU]
    136 3.563561    192.168.1.102         128.119.245.12        TCP      1514   108777          1                     [TCP segment of a reassembled PDU]
    137 3.564458    192.168.1.102         128.119.245.12        TCP      1514   110237          1                     [TCP segment of a reassembled PDU]
